tumour-draining lymph node,lymph node
tumour-infiltrating,immune system
unwounded back skin,skin of body
upper right brain quadrant,brain
uterine fibroblasts (KCO2s),uterus
uterine leiomyosarcoma tumor,uterus
uterine serous carcinoma,uterus
uterine tube (oviduct),fallopian tube
"uterine tube (oviduct), distal section",fallopian tube
"uterine tube (oviduct), proximal section",fallopian tube
"utero-placental tissue, myometrial strips",uterus
utricle,sensory system
vagal neural crest,peripheral nervous system
vascular endothelial cells (HUVEC),vasculature
ventral hippocampus,brain
"ventral hippocampus, D1-expressing nuclei",brain
visceral adipose tissue (VAT),adipose tissue
whole embryonic nose,nose
whole heart,heart
whole kidney,kidney
whole lung cells,lung
whole tumors,other
"wounded back skin, 1 day post-wounding",skin of body
wrist joint,skeletal system
xenograft OS tumor,skeletal system
xenograft bone marrow,bone marrow
xenograft tissue,other
"yolk sac, placenta",yolk sac
3D organoid culture,other
8553_BR_R_sec3_S1_L002,other
8718_BR_L_sec1_S2_L002,other
ACA (Anterior Cingulate Area),brain
ASO3,other
Adult brain (VISp1),brain
B-lymphoid cells,immune system
BA9+BA4+SC (brain regions),brain
BA9+TH+Lesion+AWS,brain
C2C12 myoblasts,musculature
CB - VERM-CBN,brain
CN6 e11.5 GFP-positive and negative,brain
CNU - PAL (Cortex Nucleus - Pallidum),brain
CTXsp - CLA-EP-LA-BLA-BMA-PA (adult mouse brain),brain
CTXsp - CLA-EP-LA-BLA-BMA-PA (specific brain regions),brain
Caco2 cells,other
Caco2 cells expressing mCD300lf,other
Caecum epithelium,large intestine
Ctrl3-sup,other
GABAergic Cortical Neurons,brain
HT29 cells,other
HashTagOligo,other
Hematopoietic Stem and Progenitor Cells,bone marrow
Intestinal tract,intestine
Intestinal tract and surrounding tissues,intestine
K7M2 flank tumor,other
LLC tumor (Lewis Lung Carcinoma),lung
Ligamentum Flavum,skeletal system
Liver N,liver
MB - IC (Mouse Brain - Intercalated),brain
MB - MRN-CUN-RN-RR-PPN-PRT (specific brain regions),brain
MB-PONS - DR-PPN-SOC-V,brain
MDAMB361 Cell line,other
PDX,other
PDX (Patient-Derived Xenograft),other
PTLp (Posterior Thalamic Lateral Nucleus),brain
Pancreatic Islets,pancreas
Payer's patches,immune system
Pig embryo (D7),embryo
Posterior intestinal tract and surrounding tissues,intestine
Pre-manufacture T cells,immune system
RPE1-hTert cells,other
Skin of body,skin of body
Skin of body (dorsal skin biopsies),skin of body
Substantia Nigra,brain
Substantia nigra pars compacta (SNpc),brain
TH - MH-LH-LP (specific brain regions),brain
TH - PF-SPA-SPFm-VPMpc-VPLpc-RT,brain
TH - VAL-VPM-VPL-VM (specific brain regions),brain
Thalamic and Cortical Organoids,brain
Vagus nerve ganglion,peripheral nervous system
"adjacent nonmalignant tissues, nasopharyngeal carcinoma",respiratory system
adult mouse brain regions,brain
ankle ulcer,skin of body
anterior tibial arteries,vasculature
"axillary and inguinal lymph node, right flank",lymph node
back skin and matched livers,other
blood (term cord blood),blood
"blood, specifically Peripheral Blood Mononuclear Cells (PBMC)",blood
bone marrow-derived monocytes (BMDMs),bone marrow
"brain (excluding olfactory bulbs, cerebellum, pons, and medulla)",brain
brain (prefrontal cortex white matter),brain
brain regions: TH - AD-AV-AM-IAD-LD,brain
"brain, cerebellum",brain
"brain, medial prefrontal cortex",brain
"brain, specifically cortical regions",brain
"brain, specifically neocortical and hippocampal regions",brain
"brain, specifically the cerebellum",brain
breast cancer biopsies,breast
bronchoalveolar lavage (BAL) cells,lung
caecum epithelium,large intestine
cerebellum - cerebellar nuclei,brain
cerebellum hemispheres,brain
"colon tissue, colorectal pre-malignant lesions, malignant lesions",colon
colorectal lesions,colon
coronary vessels,vasculature
cranial motor neurons (cMNs) from embryonic mouse (e10.5 and e11.5),brain
decidual immune cells,immune system
distal ileum,small intestine
e14.5 liver,liver
ear and tail,other
"embryo, 24 hpf, endothelial cell",embryo
"embryo, tail bud prominent stage",embryo
embryonic tissue (D7 pig embryo),embryo
endodermal and gut tissues,digestive system
endometrial fibroblasts,uterus
epigalea,other
gallbladder,gallbladder
gastric fundus,stomach
head and neck squamous cell carcinoma,neck
hepatic fibroblasts,liver
human cardiac myxoma,heart
human immortalized endothelial cells,vasculature
iPSC-derived endothelial cells,vasculature
iPSC-derived macrophage,immune system
iPSC-derived macrophages,immune system
iPSC/SEAM_week1,other
iPSC/SEAM_week10,other
iPSC/SEAM_week2,other
iPSC/SEAM_week4,other
iPSC/SEAM_week6,other
iPSC/SEAM_week8,other
iWAT (Inguinal White Adipose Tissue),adipose tissue
intestinal crypt epithelial cells,intestine
jaw,head
lPRAT Adipose,adipose tissue
ligamentum flavum,skeletal system
lower small intestine,small intestine
lymph nodes (tumor-draining),lymph node
macrophages,immune system
medial temporal lobe,brain
megakaryblast MEG01 cells,bone marrow
meningeal dura,brain
mesenchymal glioma stem cells,brain
mesenteric lymph nodes (MLNs),lymph node
midbrain - paraventricular nucleus,brain
miracidium larva,other
mouse embryonic stem cells (mESC),embryo
nasal turbinates,nose
nasal-associated lymph nodes,lymph node
neurons derived from iPSCs,brain
"neutrophils from bone marrow, spleen, blood, and pancreatic tumor",immune system
non-mobilized HSCPs,bone marrow
occipital cortex,brain
olfactory piriform cortex,brain
ovarian surface epithelium,ovary
pair of forelimbs,forelimb
pancreatic ductal adenocarcinoma organoids,pancreas
peripheral blood mononuclear cells (PBMC) and tumor biopsies,other
"peripheral blood, PBMC",blood
"placenta villi, early pregnancy",placenta
popliteal lymphatic and blood vessels,vasculature
posterior intestinal tract and surrounding tissues,intestine
prefrontal cortex white matter,brain
primary (from medulloblastoma),brain
primary HSPC,bone marrow
"primary cells (mixed), tumor",other
primary decidual immune cells,immune system
primary human airway epithelial cultures,respiratory system
primary human breast cancer,breast
"prostate tumor, pelvic mass",prostate gland
rostral ventrolateral medulla,brain
sarcoma tissue,other
skin (anterior chest),skin of body
skin (back skin and matched livers),skin of body
skin (dorsal skin biopsies),skin of body
skin biopsy,skin of body
skin cells,skin of body
substantia nigra - amygdala,brain
synovial,skeletal system
teratoma-mTBLC,other
terminal ileum and ascending colon,intestine
thymocytes,immune system
tumor mass,other
tumor mass sample of glioblastoma patient,brain
tumor mass sample of glioblastoma patient 20,brain
tumor mass sample of glioblastoma patient mis3,brain
tumor or spleen,other
umbilical vein endothelial cells,vasculature
ureter,ureter
vascular tissue,vasculature
whole organism (embryo stage),embryo
100-200 cell embryos,embryo
12-day-old seedlings,seedling
22-25 mm Adult Calvaria,skeletal system
3rd Instar Larval Brain,brain
A549 cell line,other
ACC,other
Adipose tissue,adipose tissue
Adipose tissue (chest region),adipose tissue
Adnexa (left adnexa),reproductive system
Adnexa (left ovary),ovary
Adnexa (ovary and fallopian tube),reproductive system
Adrenal Gland,adrenal gland
"Adult brain, rhombencephalon",brain
"Adult brain, specifically telencephalon",brain
"Adult brain, specifically the mesencephalon region",brain
Adult compound eye,eye
Adult proventriculus and associated tissue,digestive system
Adult testis,testis
Adventitious root,root
All tissue at midbrain axial level,brain
Anterior Segment Mesenchyme,eye
Apex,other
Arabidopsis Root Protoplasts,protoplast
Arabidopsis root cells,root
Artery,vasculature
Ascites,abdomen
BAL (Bronchoalveolar Lavage),respiratory system
BALF cell,respiratory system
BALF cell (Bronchoalveolar lavage fluid cells),respiratory system
Background liver adjacent to hepatoblastoma,liver
Blastoid,embryo
Blood,blood
Blood (PBMC),blood
Blood (Peripheral Blood Mononuclear Cells - PBMC),blood
Bmp4 explants,other
"Bone marrow, intestinal tissue, spleen, lymph nodes, lung tissue",other
Bone marrow-like organoids (BMOs),bone marrow
Bone-Marrow,bone marrow
Bowel,intestine
Brachial spinal cord,spinal cord
Brain,brain
Brain (Right Hemisphere),brain
Brain meninges,brain
"Brain, Frontal Cortex",brain
"Brain, prefrontal cortex, Brodmann area 9 (BA9)",brain
"Brain, prefrontal cortex, Brodmann area 9 (BA9); Postmortem, fresh frozen",brain
Breast,breast
Bronchalveolar lavage,respiratory system
Bronchoalveolar Lavage (BAL),respiratory system
Bronchoalveolar lavage,respiratory system
Bronchoalveolar lavage (BAL),respiratory system
Bronchoalveolar lavage fluid,respiratory system
Bronchoalveolar lavage fluid (BALF),respiratory system
Bronchoalveolar lavage fluid (BALF) cells,respiratory system
Bursa,skeletal system
CD44+ Thymocytes,immune system
CD45+ cells from human heart,heart
CD45+ cells from specimen CBTM-423C_AX,axilla
CD45+ cells from specimen CBTM-473C_SP,spleen
"CD45+ cells from the apex of the heart (Donor6, CBTM-417C)",heart
"CD45+ cells from the left ventricle of Donor11, CBTM-473C",heart
CD45+ cells from the right atrium,heart
CD45+ cells from the right ventricle,heart
CD45+ immune cells from ovarian tumor,ovary
Caecum,large intestine
Calvaria,skeletal system
Cardiac tissue,heart
Caudal fin,other
Caudate (postmortem brain tissue),brain
Caudodorsal neurofibroma 1,peripheral nervous system
Caudodorsal neurofibroma 2,peripheral nervous system
Caudodorsal subcutaneous tissue,skin of body
Cells from specimen CBTM-423C_AX,axilla
Cells from specimen CBTM-473C_RV,heart
Central nervous system,central nervous system
Cerebellum,brain
Cervical smears,reproductive system
Choroid,eye
Choroid Plexus,brain
Contralateral kidney medulla,kidney
Cord-Blood,blood
Cortex,cortex
Cortical plate,brain
Cultured-Cell-from-iPS,other
Dissected hindbrain region,brain
Distal ileum with Peyer's patches,small intestine
Distal pulmonary arteries (<2mm),vasculature
Distal pulmonary arteries (less than 2mm),vasculature
Dorsal Root Ganglion (DRG),peripheral nervous system
Dorsal entopeduncular nucleus and its surrounding brain tissue,brain
Dorsal fins,other
Dorsal root ganglion (L4),peripheral nervous system
Dura-derived leukocytes,brain
Dural Meninges,brain
E9.5 yolk sac,yolk sac
"Embryo, 48 hours post-fertilization (hpf)",embryo
Embryonic,embryo
Endocardial cells,heart
Endometrium,uterus
Endothelial cells,vasculature
Endothelial cells from human mesenteric arteries,vasculature
EpiSC (Embryonic Stem Cells),embryo
Eye disc,eye
FNA (Fine Needle Aspiration),other
Facial mesenchyme,head
Fallopian Tube,fallopian tube
Fallopian Tube (Fimbria cells),fallopian tube
Fallopian tube,fallopian tube
Fetal Bone Marrow,bone marrow
Fetal Bone marrow,bone marrow
Fetal brain,brain
"Fetal brain, Inferior Temporal Cortex",brain
"Fetal brain, Lateral Ganglionic Eminence (LGE), E110, Wild Type (WT), Male",brain
Fetal-Gonad,reproductive system
Fin,other
Fine Needle Aspirate (FNA) from lymph nodes,lymph node
Fine Needle Aspirations (FNA),other
Fine Needle Aspirations from lymph nodes,lymph node
Fine needle aspiration (FNA) from lymph nodes,lymph node
Fine needle aspiration from lymph nodes,lymph node
Fine needle aspirations (FNA) from lymph nodes,lymph node
Fine needle aspirations from lymph nodes,lymph node
Fine needle aspirations from lymph nodes (FNA),lymph node
First tarsal segment,other
Fovea and peripheral retina,eye
Fovea centralis,eye
GBM,brain
GBM (Glioblastoma Multiforme),brain
GBM (Glioblastoma),brain
GBM new TIL,brain
GBM pembro TIL,brain
GBM rec TIL,brain
GBM rec TIL (Glioblastoma recurrent Tumor Infiltrating Lymphocytes),brain
GBM rec TIL (Tumor Infiltrating Lymphocytes from recurrent Glioblastoma),brain
Gall-Bladder,gallbladder
"Gastrula tissue including primitive streak, epiblast, mesendoderm",embryo
Germ cells,reproductive system
Germinating seeds,seed
Gill,other
Gingiva,mucosa
Gingiva Biopsy,mucosa
Glioblastoma (GBM),brain
Glioblastoma (GBM) rec TIL,brain
Glioblastoma recurrent Tumor Infiltrating Lymphocytes,brain
"Gut, Larval",digestive system
HAE+ FACS,other
Hair cells from Tg(Brn3c:mGFP) zebrafish,other
Head,head
Healthy periodontium,mucosa
Heart,heart
Heart (Atrioventricular Canal - AVC),heart
"Heart (myocardium), Left ventricular free wall",heart
Heart Ventricle,heart
"Heart, left ventricle",heart
Hepatized intestine,intestine
Hepatoblastoma,liver
Huh7 or Huh7.5 cells (human liver cancer cell lines),liver
Human Kidney Cortex - DN4,kidney
Human bronchial epithelial cells,respiratory system
Human epithelial tracheal,respiratory system
Human mesenteric arterial Endothelial Cells,vasculature
Human mesenteric arterial endothelial cells,vasculature
Human mesenteric arteries,vasculature
Human postnatal thymus,immune system
"Human postnatal thymus, CD44+ Thymocytes",immune system
Human umbilical Vein Endothelial Cells (HUVEC),vasculature
Human umbilical vein endothelial cells (HUVEC),vasculature
Hypothalamus,brain
IPS cells,other
Ileal,small intestine
Ileum,small intestine
Ileum (without Peyer's patches),small intestine
Ileum with Peyer's patches,small intestine
Ileum without Peyer's patches,small intestine
Induced Pluripotent Stem (iPS) cells,other
Inguinal lymph node,lymph node
Intestine,intestine
Intestines,intestine
Jaw joint,skeletal system
Jaw joint cells,skeletal system
Jaw mesenchyme,skeletal system
Jejunum,small intestine
Kaede+ midbrain cells,brain
Kidney,kidney
Kidney core biopsy,kidney
Kidney marrow,kidney
Labellum,other
Leaf,leaf
Leaf base,leaf
Left atrium (CD45+ cells from specimen CBTM-417C_LA),heart
Left pararenal lymph node with colonic mesentery,lymph node
Leg musculatures,musculature
Lin-CD34+ Thymocytes,immune system
Lin-CD34+ Thymocytes (from Human postnatal thymus),immune system
Lin-CD34+CD1a- Thymocytes,immune system
Liver,liver
Longissimus dorsi muscle,musculature
Lower reproductive tract,reproductive system
Lung,lung
Lung Biopsy,lung
Lung tissue,lung
Lung-draining lymph node,lymph node
Lymph node,lymph node
Lymph node fine needle aspirations (FNA),lymph node
Macula lutea,eye
Macula lutea proper,eye
Malpighian tubule,other
Mandibular bone and dental tissue,skeletal system
"Medial meniscus, white zone",skeletal system
Medial prefrontal cortex,brain
Meniscus,skeletal system
Mesenteric lymph node,lymph node
Mesonephric kidneys,kidney
Midbrain-hindbrain boundary to somite 6,embryo
Milk,milk
"Mixed (bone marrow, intestinal tissue, spleen, lymph nodes, lung tissue)",other
Mixed tissues from twelve adult deceased organ donors,other
Mixed-stage male gametophytes,flower
Motor neurons,central nervous system
Mouse tracheal epithelial cells cultured at air-liquid interface,respiratory system
Muscle,musculature
Muscle-derived cells,musculature
NIH3T3,other
Nuclei from adult human heart,heart
Nuclei from specimen H0015_LA,heart
Nuclei from specimen H0015_RA,heart
Nuclei from specimen H0015_SP,spleen
Nuclei from specimen H0020_RA,heart
Nuclei from specimen H0025_RA,heart
Nuclei from specimen H0037_RV,heart
Nuclei from the adult human heart,heart
Nuclei from the adult human heart (specimen H0025_LA),heart
"Nuclei from the apex of Donor2, CBTM-362C",heart
Occipital Cortex,brain
Occipital cortex,brain
Omentum,omentum
Optic Tectum,brain
Osteoblasts,skeletal system
Ovary,ovary
PBMCs (Peripheral blood mononuclear cells),blood
Pancreas,pancreas
Pancreas - Islets of Langerhans,pancreas
Pancreas head - islets of Langerhans,pancreas
Pancreas tail - islets of Langerhans,pancreas
"Pancreas, specifically single cells of islet of Langerhans",pancreas
Pelvic Peritoneum,abdomen
Pelvic peritoneum,abdomen
Peri-implantation embryo,embryo
Peripheral blood,blood
Peripheral blood (unfractionated bone marrow),blood
Peripheral blood mononuclear cell,blood
Peripheral blood mononuclear cell (PBMC),blood
Peripheral lymph nodes,lymph node
Peripheral region of retina,eye
Peripheral retina,eye
Peritoneum,abdomen
Pharyngeal arches and surrounding tissue,head
Pistil,flower
Placenta,placenta
Porcine Alveolar Macrophages (PAMs),respiratory system
Porcine alveolar macrophage,respiratory system
Porcine alveolar macrophage (PAM),respiratory system
Prefrontal cortex,brain
Prefrontal cortex (PFC),brain
Primary motor cortex,brain
Psoas major muscle,musculature
Putamen,brain
Putamen (postmortem brain tissue),brain
RPE-choroid,eye
RPE-choroid (Periphery),eye
"RPE-choroid, Macula",eye
"RPE-choroid, macula",eye
"RPE-choroid, peripheral, 8-mm punch",eye
"RPE-choroid, specifically from the periphery",eye
Rabbit ear hypertrophic scar,skin of body
Retina,eye
Rib,skeletal system
Rice root cells,root
Root,root
Root meristem,root
Root tip,root
Root tips,root
Rosette,leaf
Rosette (21-day-old),leaf
Rosette (30 days old),leaf
"Rosette, 21 days old",leaf
"Rosette, Age: 30 days old",leaf
"SAM (Shoot Apical Meristem), plastochrons 1-6",shoot apex
"SAM, plastochrons 1 - 6",shoot apex
Seedling,seedling
Seedling (12 days old),seedling
Shoot apex (SAM+P6),shoot apex
Silique,other
Skeletal muscle,musculature
Somite,embryo
"Somite, Embryonic Day 18 (E18), Duroc x Tibetan pigs (DZ)",embryo
"Sorted cells, lysosome-rich enterocytes (LREs)",intestine
Spinal Cord,spinal cord
Spinal cord,spinal cord
Spine,skeletal system
Spleen,spleen
Stem,other
Stomach,stomach
Striatum,brain
Subcutaneous adipose tissue (SAT),adipose tissue
Tail,other
Tail regions of zebrafish larvae,other
Tailbud,embryo
Telencephalon,brain
Testis,testis
Third instar larval eye disc,eye
Thymus,immune system
Thyroid,endocrine gland
Trabecular meshwork,eye
Trabecular meshwork (TM),eye
Trigeminal ganglia,peripheral nervous system
Trunk tissue caudal to the third somite,embryo
Trunk tissue containing the AGM,embryo
UM7 (Uveal Melanoma),eye
Vascular endothelial cells from zebrafish embryos,vasculature
Ventral cord,other
Whole Kidney Marrow,kidney
Whole Lung Dissociate,lung
Whole embryo,embryo
"Whole embryo, 8 hours post fertilization (hpf)",embryo
"Whole embryo, 8 hours post-fertilization (hpf)",embryo
Whole larvae,other
Whole root,root
Whole silique,other
Wing imaginal disc,other
Zebrafish VDA 36hpf,embryo
Zebrafish embryo,embryo
adnexa,reproductive system
adnexa (left adnexa),reproductive system
adnexa (left fallopian tube),fallopian tube
adnexa (left ovary),ovary
adnexa (ovarian cancer patients),reproductive system
adnexa (ovary and fallopian tube),reproductive system
adnexa (right adnexa),reproductive system
adnexa (right fallopian tube),fallopian tube
adnexa (right ovary and tube),reproductive system
adnexa (right ovary),ovary
adnexa from ovarian cancer patients,reproductive system
"adnexa, left ovary",ovary
"adnexa, omentum, peritoneum, bowel, ascites",other
adult brain (whole),brain
"adult brain, diencephalon",brain
"adult brain, specifically the mesencephalon",brain
"adult brain, telencephalon",brain
adult compound eye,eye
adult healthy gingiva,mucosa
adult human heart,heart
adult human heart nuclei,heart
adult testis,testis
aggregate,other
airway,respiratory system
airway basal stem cells,respiratory system
alveolar epithelial,respiratory system
anterior abdominal wall,abdomen
anterior hippocampus,brain
antral epithelium,stomach
"apex of Donor11, CBTM-473C",heart
"apex of Donor6, CBTM-417C",heart
apex of the heart,heart
barrel cortex,brain
blood (PBMC - Peripheral Blood Mononuclear Cells),blood
blood (Peripheral Blood Mononuclear Cells - PBMC),blood
bone marrow organoids,bone marrow
"bone marrow, intestinal tissue, spleen, lymph nodes, lung tissue",other
bone marrow-like organoids,bone marrow
bone marrow-like organoids (BMOs),bone marrow
bowel,intestine
bowel (cecum),large intestine
brachial spinal cord,spinal cord
brain (R2 tumor peripheral tissue),brain
brain (R3 tumor peripheral tissue),brain
brain (R4 tumor peripheral tissue),brain
brain (adult cerebellum),brain
brain (right hemisphere),brain
brain meninges,brain
"brain, prefrontal cortex, Brodmann area 9 (BA9)",brain
"brain, prefrontal cortex, Brodmann area 9 (BA9); Postmortem, fresh frozen",brain
"brain, prefrontal cortex, Brodmann area 9 (BA9); postmortem, fresh frozen",brain
"brain, ventral VMH (ventromedial hypothalamus)",brain
bursa,skeletal system
caudal fin,other
central brain,brain
chicken embryo gastrula,embryo
chondrocytes,skeletal system
chorionic-villus,placenta
colonic lamina propria,lamina propria
colorectum,colon
contralateral kidney cortex,kidney
cord-blood,blood
cortical plate,brain
craniofacial skeletal tissues,skeletal system
cultured cells,other
dental pulp,skeletal system
derived from pluripotent stem cells,other
descaled cells,other
dissected hindbrain region,brain
dissociated primate parathyroid,endocrine gland
distal pulmonary arteries,vasculature
dorsal fin,other
dorsal root ganglion (DRG),peripheral nervous system
dorsal root ganglion (L4),peripheral nervous system
dorsal root ganglion cells,peripheral nervous system
dura mater,brain
dura-derived leukocytes,brain
ear hypertrophic scar,skin of body
ear primordia,flower
early embryonic gonad (HH28),embryo
embryo proper,embryo
"embryo, day 12 of pregnancy",embryo
"embryo, trophoblast cell",embryo
embryonic cells,embryo
embryonic gonad,embryo
"embryonic gonad, 8-20 hr after egg laying",embryo
embryonic kidney,kidney
endometrial carcinoma tissue,uterus
endosperm,seed
epithelial tracheal,respiratory system
"epithelium from Duodenum, Jejunum, Ileum, Colon",intestine
epithelium from various intestinal regions,intestine
extraembryonic membrane,embryo
extravillous trophoblast organoids (EVTs),placenta
eye (Choroid-RPE complex),eye
eye disc,eye
fetal bone marrow,bone marrow
"fetal brain, MFC (Medial Frontal Cortex), E110",brain
"fetal brain, ganglionic eminence",brain
"fetal brain, insula",brain
"fetal brain, occipital region",brain
"fetal brain, occipital region, Embryonic Day 54 (E54)",brain
"fetal brain, posterior region, embryonic day 42 (E42)",brain
fetal intestine,intestine
fetal lungs,lung
fin,other
fine needle aspirations from lymph nodes,lymph node
first tarsal segment,other
floral receptacle,flower
fovea centralis,eye
frontonasal prominence,head
gall-bladder,gallbladder
"gastrula tissue, primitive streak, epiblast, mesendoderm",embryo
germ cells,reproductive system
germinating seeds,seed
germinating seeds (1.25 days old),seed
gingiva biopsy,mucosa
gonadal cells,reproductive system
gonadal fat pad,adipose tissue
greater omentum,omentum
"gut, larval stage",digestive system
healthy periodontium,mucosa
heart (ventricle),heart
heart apex,heart
"heart, 72 hours post-fertilization",heart
hepatized intestine,intestine
hindbrain vestibular neurons,brain
hippocampi,brain
human dental pulp,skeletal system
human epithelial tracheal,respiratory system
human mesenteric arteries,vasculature
hypocotyl,other
iPS cells,other
iPSC-derived cardiomyocytes,heart
iPSC-derived gut organoids,digestive system
iPSC-derived stromal cells,other
ileal (from surgical resection),small intestine
ileum with Peyer's patches,small intestine
ileum without Peyer's patches,small intestine
imbibed seeds,seed
induced excitatory sensory neurons,peripheral nervous system
infra-renal lymph node,lymph node
injured spinal cord,spinal cord
inner ear,sensory system
intercostal muscle,musculature
interventricular septum,heart
interventricular septum from CD45+ cells,heart
intestinal tissue,intestine
intestinal tissues,intestine
intestine (adult duodenum),intestine
islets of Langerhans,pancreas
jaw joint,skeletal system
jaw mesenchyme,skeletal system
kidney core biopsy,kidney
kidney marrow,kidney
labellum,other
larval trachea,other
left fallopian tube,fallopian tube
left ovary,ovary
left pararenal lymph node with colonic mesentery,lymph node
left ventricle heart muscle,heart
left ventricle of the heart,heart
left ventricular heart muscle,heart
leg musculature,musculature
limbs,other
lung and airways,respiratory system
lung biopsy,lung
"lung tissue, DF-1 cell line",lung
"lung tissue, left lung",lung
"lung tissue, specifically the right lung",lung
lung-draining lymph node,lymph node
lymph node fine needle aspirations,lymph node
macula lutea proper,eye
macula retina,eye
"medial prefrontal cortex, choroid plexus",brain
mediobasal hypothalamus,brain
medulla,brain
megakaryoblast MEG01 cells,bone marrow
meniscus,skeletal system
"meniscus, lateral meniscus, white zone",skeletal system
mesenteric arterial endothelial cells,vasculature
midbrain axial level,brain
midgut,intestine
mixed (see metadata file sample_metadata.txt),other
mixed tissues,other
"mixed tissues (bone marrow, intestinal tissue, spleen, lymph nodes, lung tissue)",other
"mixed tissues, bone",other
"mixed tissues, including bone marrow, intestinal tissue, spleen, lymph nodes,...",other
mixed-stage male gametophytes,flower
motor neurons,central nervous system
muscle-derived cell types,musculature
muscle-derived cells,musculature
myotome,musculature
neuronal differentiation,central nervous system
neurons,central nervous system
nuclei from adult human heart,heart
nuclei from specimen CBTM-361B_LA,heart
nuclei from specimen CBTM-362C_RV,heart
nuclei from specimen CBTM-362C_SP,spleen
nuclei from specimen CBTM-473C_AX,axilla
nuclei from specimen CBTM-473C_LV,heart
nuclei from specimen H0020_LA,heart
nuclei from specimen H0020_LV,heart
nuclei from specimen H0020_RV,heart
nuclei from specimen H0025_AX,axilla
nuclei from specimen H0025_LV,heart
nuclei from specimen H0026_LA,heart
nuclei from specimen H0026_RV,heart
nuclei from specimen H0035_SP,spleen
nuclei from specimen H0037_LV,heart
nuclei from specimen H0037_RA,heart
nuclei from the adult human heart,heart
"nuclei from the apex of Donor1, CBTM-361B",heart
omentrum,omentum
optic tectum,brain
organoid line,other
pancreas (Islet of Langerhans),pancreas
pancreas - islets of Langerhans,pancreas
pancreas head - islets of Langerhans,pancreas
pancreas tail - islets of Langerhans,pancreas
pancreatic islet cells,pancreas
pelvic peritoneal tumor,abdomen
pelvic peritoneum,abdomen
periodontium,mucosa
peripheral blood mononuclear cells (PBMC) and bronchoalveolar lavage (BAL) cells,other
pistil,flower
placenta + yolk sac,placenta
pleura,pleura
porcine alveolar macrophage,respiratory system
posterior hippocampus,brain
postimplantation culture (4 days),embryo
postmortem brain tissue,brain
postmortem brain tissue (Caudate),brain
postmortem brain tissue (Putamen),brain
postmortem brain tissue (caudate),brain
"postmortem brain tissue, caudate",brain
"postmortem brain tissue, specifically Caudate",brain
"postmortem brain tissue, specifically Putamen",brain
postnatal thymus,immune system
"prefrontal cortex, Brodmann area 9",brain
primary chicken embryo tissue,embryo
primary human astrocytes,brain
prostate cancer tumor,prostate gland
proximal femur,skeletal system
rab-3::tagRFP+ neurons,central nervous system
recombined epidermis + dermis,skin of body
reproductive tissues,reproductive system
respiratory tract,respiratory system
"retina, fovea",eye
"retina, parafovea",eye
rib,skeletal system
right atrium,heart
right atrium of the heart,heart
right diaphragm,musculature
right diaphragm (from tumor tissue),musculature
right fallopian tube,fallopian tube
right ovary,ovary
right ventricle of the heart,heart
root,root
root cells,root
root meristem,root
root tip,root
"root tip, all cell types of root",root
rosette,leaf
satellite cells,musculature
secondary root,root
seedling,seedling
seedling (12 days old),seedling
seedling (6 days old),seedling
septal tissue,heart
shoot apex (SAM+P6),shoot apex
sigmoid colon,colon
silique,other
skeletal muscle tissue,musculature
skin (dermis),skin of body
skin (epidermis),skin of body
skin (paw),skin of body
skin of body (breast reconstruction surgery),skin of body
skin of body (dermis),skin of body
skin of body (epidermis),skin of body
skin of body (specifically dermis),skin of body
"skin of body, dermis",skin of body
"skin of body, epidermis",skin of body
"skin of body, specifically from the epidermis",skin of body
"skin, ear",skin of body
"skin, epidermis",skin of body
"skin, specifically epidermis",skin of body
"skin, specifically from the nose",skin of body
"skin, spleen, lymph node",other
small and large fetal intestine,intestine
somite,embryo
sorted cells,other
spinal cord grey matter dorsal to central canal,spinal cord
stem,other
subcutaneous tumor tissue,skin of body
suprachiasmatic nucleus,brain
syngenic tumor,other
synovial fluid from OA affected joint,skeletal system
tail,other
tailbud,embryo
third instar larval eye disc,eye
third leg disc,other
thoracic spinal cord,spinal cord
thorax,chest wall
tissue culture,other
tracheal epithelial cells,respiratory system
trophoblast cells,placenta
trunk,other
trunk tissue caudal to the third somite,embryo
tumor surrounding brain,brain
"tumor tissue (adnexa, omentum, peritoneum, bowel, ascites)",other
"tumor tissue (adnexa, omentum, peritoneum, bowel, ascites, and other intra-pe...)",other
tumor tissue (ovarian cancer),ovary
tumor tissue from ovarian cancer patients,ovary
tumor tissue from the right paracolic gutter,paracolic gutter
uninjured heart tissue,heart
ureter and lower tubules,ureter
uterine mucosa,uterus
vascular endothelial cells from zebrafish embryos,vasculature
ventral cord,other
ventromedial hypothalamus,brain
whole E7.5 embryo,embryo
whole body,other
whole embryo (3 somite stage),embryo
"whole embryo, 12 hours post-fertilization",embryo
"whole embryo, 3 somite stage",embryo
"whole embryo, neutrophils",embryo
whole flowers,flower
whole gut,intestine
whole kidney marrow,kidney
whole larvae,other
whole lung dissociate,lung
whole organism,other
whole organism (embryos),embryo
whole rabbit embryos,embryo
"whole rabbit embryos, extraembryonic membrane",embryo
whole retina,eye
whole root,root
whole root tip,root
whole silique,other
whole worm body,other
whole worms,other
whole zebrafish embryo,embryo
whole-organism,other
wing imaginal disc,other
zebrafish embryo,embryo
zebrafish larva,other
zebrafish trunks at yolk extension,embryo
ileal,small intestine
